First,Last,Party,State
Hiram,Johnson,R,CA
Charles,Henderson,D,NV
John,Nugent,D,ID
David,Baird,R,NJ
Irvine,Lenroot,R,WI
Walter,Guion,D,LA
Xenophon,Wilfley,D,MO
Christie,Benet,D,SC
Irving,Drew,R,NH
George,Martin,D,KY
Edward,Gay,D,LA
George,Moses,R,NH
William,Pollock,D,SC
Selden,Spencer,R,MO
Arthur,Capper,R,KS
Nathaniel,Dial,D,SC
Walter,Edge,R,NJ
William,Harris,D,GA
Pat,Harrison,D,MS
Henry,Keyes,R,NH
Truman,Newberry,R,MI
Lawrence,Phipps,R,CO
David,Walsh,D,MA
Carter,Glass,D,VA
Braxton,Comer,D,AL
Frank,Willis,R,OH
Frank,Gooding,R,ID
Edwin,Broussard,D,LA
Ralph,Cameron,R,AZ
Richard,Ernst,R,KY
John,Harreld,R,OK
Edwin,Ladd,R,ND
Samuel,Nicholson,D,CO
Peter,Norbeck,R,SD
Tasker,Oddie,R,NV
Samuel,Shortridge,R,CA
Thomas,Watson,D,GA
Ovington,Weller,R,MD
Holm,Bursum,R,NM
William,Crow,R,PA
Charles,Rawson,R,IA
David,Reed,R,PA
Rebecca,Felton,D,GA
Walter,George,D,GA
James,Couzens,R,MI
Smith,Brookhart,R,IA
Royal,Copeland,D,NY
Clarence,Dill,D,WA
Edward,Edwards,D,NJ
Woodbridge,Ferris,D,MI
Simeon,Fess,R,OH
Lynn,Frazier,R,ND
Frank,Greene,R,VT
Robert,Howell,R,NE
Earle,Mayfield,D,TX
Matthew,Neely,D,WV
Hubert,Stephens,D,MS
Burton,Wheeler,D,MT
Alva,Adams,D,CO
Porter,Dale,R,VT
Jesse,Metcalf,R,RI
William,Butler,R,MA
Rice,Means,R,CO
Hiram,Bingham,R,CT
Charles,Deneen,R,IL
Coleman,Blease,D,SC
Sam,Bratton,D,NM
Frederick,Gillett,R,MA
Guy,Goff,R,WV
William,Pine,R,OK
Frederic,Sackett,R,KY
Thomas,Schall,R,MN
Lawrence,Tyson,D,TN
George,Williams,R,MO
Arthur,Robinson,R,IN
Gerald,Nye,R,ND
Daniel,Steck,D,IA
David,Stewart,R,IA
Arthur,Gould,R,ME
Harry,Hawes,D,MO
Frank,Smith,R,IL
Alben,Barkley,D,KY
Hugo,Black,D,AL
John,Blaine,R,WI
Carl,Hayden,D,AZ
Frederick,Steiwer,R,OR
Millard,Tydings,D,MD
William,Vare,R,PA
Charles,Waterman,R,CO
Bronson,Cutting,R,NM
Arthur,Vandenberg,R,MI
Cyrus,Locher,D,OH
John,Thomas,R,ID
Otis,Glenn,R,IL
Octaviano,Larrazolo,R,NM
Daniel,Hastings,R,DE
Tom,Connally,D,TX
Henry,Hatfield,R,WV
Felix,Hebert,R,RI
Hamilton,Kean,R,NJ
Roscoe,Patterson,R,MO
Frederic,Walcott,R,CT
Henry,Allen,R,KS
William,Brock,D,TN
Patrick,Sullivan,R,WY
John,Robsion,R,KY
Robert,Bulkley,D,OH
Robert,Carey,R,WY
Ben,Williamson,D,KY
James,Davis,R,PA
Dwight,Morrow,R,NJ
Cameron,Morrison,D,NC
Frank,Partridge,R,VT
Josiah,Bailey,D,NC
William,Bulow,D,SD
James,Byrnes,D,SC
Marcus,Coolidge,D,MA
Edward,Costigan,D,CO
Cordell,Hull,D,TN
Marvel,Logan,D,KY
Warren,Austin,R,VT
Hattie,Caraway,D,AR
Huey,Long,D,LA
John,Cohen,D,GA
Walter,Walker,D,CO
Elijah,Grammer,R,WA
Robert,Reynolds,D,NC
Karl,Schuyler,R,CO
Nathan,Bachman,D,TN
Homer,Bone,D,WA
Fred,Brown,D,NH
William,Dieterich,D,IL
Augustine,Lonergan,D,CT
John,Overton,D,LA
James,Pope,D,ID
Elbert,Thomas,D,UT
Frederick,Nuys,D,IN
John,Erickson,D,MT
William,Thompson,D,NE
Carl,Hatch,D,NM
Ernest,Gibson,R,VT
Joseph,Mahoney,D,WY
James,Murray,D,MT
Richard,Hunter,D,NE
Theodore,Bilbo,D,MS
Edward,Burke,D,NE
Vic,Donahey,D,OH
Joseph,Guffey,D,PA
Francis,Maloney,D,CT
Sherman,Minton,D,IN
Lewis,Schwellenbach,D,WA
Harry,Truman,D,MO
Dennis,Chavez,D,NM
Rush,Holt,D,WV
Scott,Loftin,D,FL
William,Hill,D,FL
Charles,Andrews,D,FL
Guy,Gillette,D,IA
Guy,Howard,R,MN
Claude,Pepper,D,FL
Prentiss,Brown,D,MI
Herbert,Hitchcock,D,SD
Styles,Bridges,R,NH
Allen,Ellender,D,LA
Theodore,Green,D,RI
James,Hughes,D,DE
Edwin,Johnson,D,CO
Joshua,Lee,D,OK
Henry,Schwartz,D,WY
Clyde,Herring,D,IA
William,Smathers,D,NJ
George,Berry,D,TN
John,Miller,D,AR
John,Milton,D,NJ
Alexander,Barry,R,OR
Gladys,Pyle,R,SD
Thomas,Storke,D,CA
James,Mead,D,NY
John,Danaher,R,CT
Sheridan,Downey,D,CA
Rufus,Holman,R,OR
Scott,Lucas,D,IL
Clyde,Reed,R,KS
Robert,Taft,R,OH
Charles,Tobey,R,NH
Alexander,Wiley,R,WI
James,Slattery,D,IL
Albert,Chandler,D,KY
Joseph,Ball,R,MN
Berkeley,Bunker,D,NV
Monrad,Wallgren,D,WA
Ralph,Brewster,R,ME
Harold,Burton,R,OH
Hugh,Butler,R,NE
Harley,Kilgore,D,WV
William,Langer,R,ND
Abe,Murdock,D,UT
James,Tunnell,D,DE
Raymond,Willis,R,IN
George,Aiken,R,VT
Joseph,Rosier,D,WV
James,Eastland,D,MS
Alva,Lumpkin,D,SC
Roger,Peace,D,SC
Wall,Doxey,D,MS
Burnet,Maybank,D,SC
Eugene,Millikin,R,CO
Arthur,Nelson,R,MN
Hugh,Shott,R,WV
James,Scrugham,D,NV
Harlan,Bushfield,R,SD
Homer,Ferguson,R,MI
Albert,Hawkes,R,NJ
Edward,Moore,R,OK
Chapman,Revercomb,R,WV
Edward,Robertson,R,WY
Kenneth,Wherry,R,NE
George,Wilson,R,IA
Arthur,Walsh,D,NJ
Samuel,Jackson,D,IN
Sinclair,Weeks,R,MA
Guy,Cordon,R,OR
William,Jenner,R,IN
Wilton,Hall,D,SC
Warren,Magnuson,D,WA
Homer,Capehart,R,IN
Bourke,Hickenlooper,R,IA
Clyde,Hoey,D,NC
Olin,Johnston,D,SC
John,Moses,D,ND
Francis,Myers,D,PA
Glen,Taylor,D,ID
Leverett,Saltonstall,R,MA
Forrest,Donnell,R,MO
Hugh,Mitchell,D,WA
Frank,Briggs,D,MO
Thomas,Hart,R,CT
Milton,Young,R,ND
Edward,Carville,D,NV
William,Knowland,R,CA
James,Huffman,D,OH
Charles,Gossett,D,ID
William,Stanfill,R,KY
Thomas,Burch,D,VA
George,Swift,D,AL
Spessard,Holland,D,FL
Ralph,Flanders,R,VT
Henry,Dworshak,R,ID
John,Sparkman,D,AL
Kingsley,Taft,R,OH
William,Umstead,D,NC
Harry,Cain,R,WA
Raymond,Baldwin,R,CT
John,Bricker,R,OH
Zales,Ecton,R,MT
Irving,Ives,R,NY
James,Kem,R,MO
George,Malone,R,NV
Edward,Martin,R,PA
Herbert,Conor,D,MD
Edward,Thye,R,MN
Arthur,Watkins,R,UT
John,Williams,R,DE
John,Stennis,D,MS
William,Feazel,D,LA
Vera,Bushfield,R,SD
Russell,Long,D,LA
Karl,Mundt,R,SD
Clinton,Anderson,D,NM
Virgil,Chapman,D,KY
Paul,Douglas,D,IL
Robert,Hendrickson,R,NJ
Hubert,Humphrey,D,MN
Lester,Hunt,D,WY
Lyndon,Johnson,D,TX
Estes,Kefauver,D,TN
Robert,Kerr,D,OK
Bert,Miller,D,ID
Mathew,Neely,D,WV
Andrew,Schoeppel,R,KS
Garrett,Withers,D,KY
Frank,Graham,D,NC
Edward,Leahy,D,RI
Herbert,Lehman,D,NY
Harry,Darby,R,KS
William,Benton,D,CT
Earle,Clements,D,KY
Willis,Smith,D,NC
Frank,Carlson,R,KS
Richard,Nixon,R,CA
