Date,Price,Partisan Investing,Job Postings,Equity Investment,Risk Free Rate,Twitter Posts,Twitter Impressions,Twitter Sentiment,Peer Twitter Posts,Peer Twitter Impressions,Peer Twitter Sentiment,Investment in R&D,Environmental Score,Social Score,Governance Score,Peer Investments in R&D,Peer Environmental Score,Peer Social Score,Peer Governance Score,Bipartisan Buying,Bipartisan Selling
2023-03-30,100.89,1.0,0.8159430864647939,0.920923865884017,0.9019607843137255,39.0,331.129,9.935,38.33333333333333,1952.6686666666667,10.789666666666665,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,0.0009685904925853,-1.1642259778454909e-07
2023-03-31,103.73,1.0,0.8152742308160039,0.920923865884017,0.9019607843137255,71.0,131.271,10.647,59.0,330.4243333333334,10.28133333333333,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,0.0004842952462926,-5.8211298892274545e-08
2023-04-01,103.73,1.0,0.8146053751672139,0.9477643725088765,0.9019607843137255,33.0,238.301,10.451999999999998,12.666666666666666,174.173,9.965333333333332,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,0.0002421476231463,-2.9105649446137273e-08
2023-04-02,103.73,1.0,0.8141797397543475,0.9477643725088765,0.9019607843137255,18.0,35.904,9.372,13.666666666666666,29.35433333333333,8.079333333333333,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,0.0001210738115731,-1.4552824723068636e-08
2023-04-03,104.36,1.0,0.8132676638696339,0.9477643725088765,0.8941176470588235,38.0,233.117,10.686,42.66666666666666,284.4676666666667,10.646333333333331,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,6.0536905786583736e-05,-7.276412361534317e-09
2023-04-04,104.72,1.0,0.8129636385747293,0.9477643725088765,0.8862745098039215,20.0,147.158,10.076999999999998,15.666666666666668,46.185,10.793,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,3.0268452893291868e-05,-3.6382061807671587e-09
2023-04-05,104.47,1.0,0.8125988082208438,0.9477643725088765,0.8784313725490197,23.0,262.093,5.806,8.333333333333334,116.52766666666669,5.454666666666666,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,1.5134226446645934e-05,-1.8191030903835793e-09
2023-04-06,108.42,1.0,0.8117475373951112,0.9477643725088765,0.8705882352941178,6.0,724.396,5.583,6.0,126.32466666666669,5.177666666666667,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,7.567113223322967e-06,-9.095515451917896e-10
2023-04-07,108.42,1.0,0.8115651222181685,0.9477643725088765,0.8686274509803922,5.0,51.521,5.583,6.0,43.20933333333333,5.186333333333333,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,3.783556611661484e-06,-4.547757725958948e-10
2023-04-08,108.42,1.0,0.8114435121002066,0.9477643725088765,0.8686274509803922,1.0,10.096,4.0,3.6666666666666665,22.12066666666667,5.0763333333333325,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,1.8917783058307415e-06,-2.2738788629794742e-10
2023-04-09,108.42,1.0,0.8107746564514168,0.9477643725088765,0.8686274509803922,1.0,10.118,4.0,4.333333333333333,76.393,4.915666666666666,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,9.458891529153708e-07,-1.1369394314897371e-10
2023-04-10,106.44,1.0,0.8107138513924359,0.9477643725088765,0.8607843137254902,5.0,19.051,5.596,4.666666666666667,34.431,5.222333333333333,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,4.729445764576855e-07,-5.684697157448685e-11
2023-04-11,105.35,1.0,0.8102274109205886,0.9477643725088765,0.8019607843137255,7.0,534.006,5.305,2.333333333333333,7.007,5.364999999999998,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,2.3647228822884275e-07,-2.8423485787243427e-11
2023-04-12,104.64,1.0,0.809923385625684,0.9477643725088765,0.7921568627450981,5.0,49.942,4.933,3.333333333333333,23.231,5.558,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,1.1823614411442137e-07,-1.4211742893621714e-11
2023-04-13,107.43,1.0,0.8094369451538368,0.9477643725088765,0.7803921568627451,4.0,19.292,4.917,3.0,20.238,5.396999999999999,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,5.9118072057210687e-08,-7.105871446810857e-12
2023-04-14,108.87,1.0,0.8088896996230086,0.9477643725088765,0.8196078431372549,6.0,11.334,4.856,7.333333333333333,17.74866666666667,4.773666666666667,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,2.9559036028605343e-08,-3.5529357234054284e-12
2023-04-15,108.87,1.0,0.8074303782074668,0.9477643725088765,0.8196078431372549,2.0,19.095,4.833,4.0,16.559333333333335,3.514,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,1.4779518014302672e-08,-1.7764678617027142e-12
2023-04-16,108.87,1.0,0.8077952085613522,0.9477643725088765,0.8196078431372549,1.0,10.254,4.0,4.0,11.592666666666668,3.166666666666666,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,7.389759007151335e-09,-8.882339308513571e-13
